2024-06-06 10:13:21	    299.42
2024-06-06 10:13:27	    299.42
2024-06-06 10:13:33	    299.35
2024-06-06 10:13:40	    299.15
2024-06-06 10:13:46	    298.87
2024-06-06 10:13:53	    298.55
2024-06-06 10:14:00	    298.21
2024-06-06 10:14:07	    297.89
2024-06-06 10:14:14	    297.65
2024-06-06 10:14:21	    297.45
2024-06-06 10:14:29	    297.13
2024-06-06 10:14:36	    296.66
2024-06-06 10:14:43	    296.08
2024-06-06 10:14:50	    295.43
2024-06-06 10:14:57	    294.79
2024-06-06 10:15:04	    294.12
2024-06-06 10:15:11	    293.48
2024-06-06 10:15:18	    292.83
